Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
653,Kurnool,Adoni,Cotton,Bunny,FAQ,6496,10111,8660,03-Jan-22
663,Kurnool,Adoni,Cotton,Bunny,FAQ,6587,10230,8669,04-Jan-22
651,Kurnool,Adoni,Cotton,Bunny,FAQ,6470,10299,8679,05-Jan-22
576,Kurnool,Adoni,Cotton,Bunny,FAQ,5809,10158,8596,06-Jan-22
474,Kurnool,Adoni,Cotton,Bunny,FAQ,5467,10279,8679,07-Jan-22
655,Kurnool,Adoni,Cotton,Bunny,FAQ,6501,10169,8689,08-Jan-22
506,Kurnool,Adoni,Cotton,Bunny,FAQ,5519,10129,8669,10-Jan-22
541,Kurnool,Adoni,Cotton,Bunny,FAQ,5647,10049,8629,11-Jan-22
633,Kurnool,Adoni,Cotton,Bunny,FAQ,6264,10169,8660,12-Jan-22
574,Kurnool,Adoni,Cotton,Bunny,FAQ,5786,10209,8656,17-Jan-22
587,Kurnool,Adoni,Cotton,Bunny,FAQ,5869,10307,8711,18-Jan-22
704,Kurnool,Adoni,Cotton,Bunny,FAQ,7386,10319,8711,19-Jan-22
669,Kurnool,Adoni,Cotton,Bunny,FAQ,6696,10521,8750,20-Jan-22
690,Kurnool,Adoni,Cotton,Bunny,FAQ,7016,10454,8869,21-Jan-22
661,Kurnool,Adoni,Cotton,Bunny,FAQ,6539,10427,8811,22-Jan-22
444,Kurnool,Adoni,Cotton,Bunny,FAQ,5389,10419,8789,24-Jan-22
607,Kurnool,Adoni,Cotton,Bunny,FAQ,6000,10369,8789,25-Jan-22
672,Kurnool,Adoni,Cotton,Bunny,FAQ,6711,10369,8766,27-Jan-22
665,Kurnool,Adoni,Cotton,Bunny,FAQ,6667,10412,8770,28-Jan-22
667,Kurnool,Adoni,Cotton,Bunny,FAQ,6679,10409,8811,29-Jan-22
644,Kurnool,Adoni,Cotton,Bunny,FAQ,6396,10559,8811,31-Jan-22
648,Kurnool,Adoni,Cotton,Bunny,FAQ,6469,10759,9189,02-Feb-22
649,Kurnool,Adoni,Cotton,Bunny,FAQ,6469,10769,9155,03-Feb-22
689,Kurnool,Adoni,Cotton,Bunny,FAQ,7009,10791,9189,04-Feb-22
664,Kurnool,Adoni,Cotton,Bunny,FAQ,6619,10769,9129,05-Feb-22
632,Kurnool,Adoni,Cotton,Bunny,FAQ,6239,10711,9159,07-Feb-22
639,Kurnool,Adoni,Cotton,Bunny,FAQ,6309,10711,9159,08-Feb-22
659,Kurnool,Adoni,Cotton,Bunny,FAQ,6509,10611,9150,09-Feb-22
552,Kurnool,Adoni,Cotton,Bunny,FAQ,5670,10390,8979,10-Feb-22
641,Kurnool,Adoni,Cotton,Bunny,FAQ,6356,10340,8959,11-Feb-22
617,Kurnool,Adoni,Cotton,Bunny,FAQ,6019,10381,9069,12-Feb-22
677,Kurnool,Adoni,Cotton,Bunny,FAQ,6867,10489,9069,14-Feb-22
654,Kurnool,Adoni,Cotton,Bunny,FAQ,6500,10503,9159,15-Feb-22
375,Kurnool,Adoni,Cotton,Bunny,FAQ,5220,10480,9166,16-Feb-22
673,Kurnool,Adoni,Cotton,Bunny,FAQ,6719,10511,9169,17-Feb-22
646,Kurnool,Adoni,Cotton,Bunny,FAQ,6467,10550,9175,18-Feb-22
678,Kurnool,Adoni,Cotton,Bunny,FAQ,6870,10516,9150,19-Feb-22
684,Kurnool,Adoni,Cotton,Bunny,FAQ,6989,10529,9230,21-Feb-22
629,Kurnool,Adoni,Cotton,Bunny,FAQ,6216,10519,9257,22-Feb-22
578,Kurnool,Adoni,Cotton,Bunny,FAQ,5809,10529,9269,23-Feb-22
647,Kurnool,Adoni,Cotton,Bunny,FAQ,6469,10519,9269,24-Feb-22
627,Kurnool,Adoni,Cotton,Bunny,FAQ,6209,10521,9250,25-Feb-22
608,Kurnool,Adoni,Cotton,Bunny,FAQ,6000,10439,9279,28-Feb-22
645,Kurnool,Adoni,Cotton,Bunny,FAQ,6467,10350,9219,03-Mar-22
666,Kurnool,Adoni,Cotton,Bunny,FAQ,6669,10273,9011,04-Mar-22
631,Kurnool,Adoni,Cotton,Bunny,FAQ,6239,10219,8919,05-Mar-22
480,Kurnool,Adoni,Cotton,Bunny,FAQ,5469,10291,8966,07-Mar-22
515,Kurnool,Adoni,Cotton,Bunny,FAQ,5569,10295,8930,08-Mar-22
568,Kurnool,Adoni,Cotton,Bunny,FAQ,5732,10289,8939,09-Mar-22
606,Kurnool,Adoni,Cotton,Bunny,FAQ,6000,10296,8866,10-Mar-22
577,Kurnool,Adoni,Cotton,Bunny,FAQ,5809,10309,8989,11-Mar-22
616,Kurnool,Adoni,Cotton,Bunny,FAQ,6019,10339,8995,12-Mar-22
481,Kurnool,Adoni,Cotton,Bunny,FAQ,5469,10412,9029,14-Mar-22
539,Kurnool,Adoni,Cotton,Bunny,FAQ,5632,10461,9050,15-Mar-22
580,Kurnool,Adoni,Cotton,Bunny,FAQ,5819,10466,8950,16-Mar-22
519,Kurnool,Adoni,Cotton,Bunny,FAQ,5575,10472,9050,17-Mar-22
613,Kurnool,Adoni,Cotton,Bunny,FAQ,6002,10526,6169,19-Mar-22
565,Kurnool,Adoni,Cotton,Bunny,FAQ,5719,10777,9259,21-Mar-22
675,Kurnool,Adoni,Cotton,Bunny,FAQ,6769,10899,9311,22-Mar-22
676,Kurnool,Adoni,Cotton,Bunny,FAQ,6769,11111,9311,23-Mar-22
710,Kurnool,Adoni,Cotton,Bunny,FAQ,7500,11219,9500,24-Mar-22
643,Kurnool,Adoni,Cotton,Bunny,FAQ,6369,11489,9399,25-Mar-22
637,Kurnool,Adoni,Cotton,Bunny,FAQ,6300,11665,9400,26-Mar-22
694,Kurnool,Adoni,Cotton,Bunny,FAQ,7175,12059,9800,30-Mar-22
635,Kurnool,Adoni,Cotton,Bunny,FAQ,6279,12239,9809,31-Mar-22
656,Kurnool,Adoni,Cotton,Bunny,FAQ,6501,12500,9869,04-Apr-22
700,Kurnool,Adoni,Cotton,Bunny,FAQ,7270,12680,9889,06-Apr-22
581,Kurnool,Adoni,Cotton,Bunny,FAQ,5819,12602,9899,07-Apr-22
625,Kurnool,Adoni,Cotton,Bunny,FAQ,6169,12459,7879,08-Apr-22
619,Kurnool,Adoni,Cotton,Bunny,FAQ,6059,12292,9879,09-Apr-22
518,Kurnool,Adoni,Cotton,Bunny,FAQ,5569,12180,9875,11-Apr-22
610,Kurnool,Adoni,Cotton,Bunny,FAQ,6000,11809,9851,12-Apr-22
611,Kurnool,Adoni,Cotton,Bunny,FAQ,6000,11908,9860,13-Apr-22
642,Kurnool,Adoni,Cotton,Bunny,FAQ,6360,12275,9800,18-Apr-22
706,Kurnool,Adoni,Cotton,Bunny,FAQ,7450,12489,9869,19-Apr-22
735,Kurnool,Adoni,Cotton,Bunny,FAQ,8367,12650,10059,20-Apr-22
698,Kurnool,Adoni,Cotton,Bunny,FAQ,7200,12613,10107,21-Apr-22
717,Kurnool,Adoni,Cotton,Bunny,FAQ,7587,12629,10100,22-Apr-22
685,Kurnool,Adoni,Cotton,Bunny,FAQ,7000,12368,10100,23-Apr-22
615,Kurnool,Adoni,Cotton,Bunny,FAQ,6012,12415,10117,25-Apr-22
623,Kurnool,Adoni,Cotton,Bunny,FAQ,6089,12431,10100,26-Apr-22
361,Kurnool,Adoni,Cotton,Bunny,FAQ,5169,12359,10096,27-Apr-22
697,Kurnool,Adoni,Cotton,Bunny,FAQ,7200,12389,10137,28-Apr-22
715,Kurnool,Adoni,Cotton,Bunny,FAQ,7571,12435,10150,29-Apr-22
731,Kurnool,Adoni,Cotton,Bunny,FAQ,8055,12495,11519,02-May-22
730,Kurnool,Adoni,Cotton,Bunny,FAQ,8025,12569,11368,04-May-22
750,Kurnool,Adoni,Cotton,Bunny,FAQ,9469,12733,11408,05-May-22
733,Kurnool,Adoni,Cotton,Bunny,FAQ,8179,12863,11556,09-May-22
686,Kurnool,Adoni,Cotton,Bunny,FAQ,7000,12964,11708,10-May-22
742,Kurnool,Adoni,Cotton,Bunny,FAQ,8780,13046,11859,11-May-22
723,Kurnool,Adoni,Cotton,Bunny,FAQ,7708,13129,11879,12-May-22
713,Kurnool,Adoni,Cotton,Bunny,FAQ,7506,13117,11879,13-May-22
